Country,Program Type,Contribution_Worker,Contribution_Employer,Contribution_SelfEmp,Contribution_Gov,Coverage_pct_LF,,
Cyprus ,Social insurance ,"Global contribution, under old age (7.8% of covered earnings) ","Global contribution, under old age (7.8% of covered payroll) ",Not covered ,"Global contribution, under old age (4.6% of covered payroll) ",68.2,,
Denmark ,Direct provision involving insurance with a private (accidents) or public (occupational diseases) carrier; Universal (medical benefits) ,No contribution ,"Whole cost, under sickness and maternity ",Voluntary basis ,"Global contribution, under sickness ",88,,
Estonia ,Social insurance | No specific programme for employment injury ,No contribution ,"Global contribution, under sickness (13% of payroll) ","Global contribution, under sickness (13% of declared earnings) ",Any deficit (whole cost for employees whose employer is insolvent) ,76.8,,
Finland ,Employer liability; mandatory private insurance ,No contribution ,"0.1% to 7% of annual payroll, according to the profession’s assessed risk ",Annual premium according to assessed risk for the profession. Voluntary basis ,No contribution ,66.5,,
France ,Social insurance ,No contribution. Voluntarily insured persons pay variable contributions according to assessed risk ,Whole cost (varies according to assessed risk) ,Special system ,No contribution ,74.1,,
Germany ,Social insurance ,No contribution ,1.3% on average (contributions vary according to assessed risk) ,Not covered (with few exceptions) ,"A subsidy for agricultural accident insurance. Contributions for specific groups (students, children in day care institutions and specified voluntary activities) ",63,,
Greece ,Social insurance ,"Global contribution, under sickness (0.4% of covered monthly earnings for cash benefits and 2.15% for medical benefits) ","Global contribution, under sickness (0.25% of covered monthly earnings for cash benefits and 4.3% for medical benefits) + 1% payroll (depending on the reported accident rate) ",Not covered ,A guaranteed annual subsidy ,46.9,,
Hungary ,Social insurance | No specific programme for employment injury ,"Global contribution, under old age and sickness (17% of covered monthly earnings) ","Global contribution, under old age (27% of monthly payroll) ","Global contribution, under old age (37% of declared monthly earnings) ",Any deficit ,78.3,,
Iceland ,Social insurance; social assistance ,No contribution ,"Global contribution, under old-age (7.35% of gross payroll for the universal pension) ","Global contribution, under oldage (part of 7.35% of gross earnings for the universal pension) ",Partially finances through general taxation ,95.1,,
Ireland ,Social insurance ,"Global contribution, under old age (0% to 4% of covered weekly earnings depending on earnings) ","Global contribution, under old-age (8.5% to 10.75% of gross wages according to weekly earnings) ",Not covered ,Any deficit (private-sector employees); whole cost (public-sector employees) ,71.8,,
Italy ,Social insurance ,No contribution ,"8.25% on average (0.5% to 10.75% of gross wages, according to assessed risk) ",Variable contribution according to assessed risk ,No contribution ,72.2,,
Latvia ,Social insurance ,No contribution ,"Global contribution, under old age (23.59% of covered earnings) ",Not covered ,Cost of state-guaranteed health care services (annual state budget) ,69.2,,
Liechtenstein ,Social insurance ,No contribution ,Variable contribution according to assessed risk ,Variable contribution according to the extent of coverage required and assessed risk. Voluntary basis ,No contribution ,… ,,
Lithuania ,Social insurance ,No contribution ,"0.37% to 1.8% of earnings, according to four employment categories ",Not covered ,No contribution ,64.7,,
Luxembourg ,Social insurance ,No contribution ,1% of covered payroll ,1% of covered income ,50% of the cost of administration ,77.1,,
Malta ,Social insurance ,"Global contribution, under old age (10% of covered wages) ","Global contribution, under old age (10% of covered payroll) ","Global contribution, under old age. Variable amount depending on net income ",50% of the value of total contributions ,73.5,,
"Moldova, Republic of ",Social insurance (cash benefits); universal (medical benefits) ,No contribution ,"Global contribution, under old age (22–23% of payroll depending on sector) ","Flat-rate contribution (6,372 lei/year; 1,584 lei/year for agricultural landowners). Voluntary basis ",No contribution ,60.2,,
Monaco ,Mandatory private insurance ,No contribution ,Whole cost (pays insurance premiums which vary according to the reported risk rate) 7 ,Not covered ,No contribution ,… ,,
Netherlands ,Social insurance | No specific programme for employment injury ,"Global contribution, under sickness, old age, disability, survivors ","Global contribution, under sickness, old age, disability, survivors ","Global contribution, under sickness, old-age, disability and survivors ","Global contribution, under sickness, old- age, disability, survivors ",97.6,,
Norway ,Social insurance (cash benefits); universal (medical benefits) and employer liability (compulsary insurance with private) ,No contribution ,"Global contribution, under old age (14.1% of gross payroll); whole cost of premiums for compulsory private insurance ",0.4% of taxable income Voluntary basis ,Any deficit ,89.6,,
Poland ,Social insurance ,No contribution ,"From 0.4% to 3.6% of payroll, according to assessed risk and number of employees ",1.8% of declared earnings ,The cost of specialized procedures promoting good public health practices ,100,,
Portugal ,Employer liability (involving insurance with a private carrier) (work injury); social insurance (occupational diseases) ,"No contribution (work injury); global contribution, under old age (occupational diseases) ","Premiums vary according to assessed risk (work injury); global contribution, under old age (23.75% of payroll) (occupational diseases) ","Premiums through iability insurance (work injury); global contribution, under old-age (29.6% of reference income; 34.75% for special categories of self-employed persons) (occupational diseases) ",No contribution ,77.3,,
Romania ,Social insurance ,No contribution. Voluntarily insured pay 1% of the average monthly income. ,"From 0.15% to 0.85% of average gross monthly income, according to assessed risk ",1% of average monthly income. Voluntary basis ,Subsidies ,63.1,,
Russian Federation ,Social insurance ,No contribution ,0.2% to 8.5% of payroll according to 32 classes of professional risk related to 22 industry categories ,Not covered ,No contribution ,74.4,,
San Marino ,Social insurance ,"Global contribution, under old age (5.4% of gross earnings) ","Global contribution, under old age (16.10% of payroll) ","Global contribution, under old age (14.5% to 22% of gross income, according to the category of employment) ","Global contribution, under old age (5% of total contributions; higher contributions for agricultural workers) or up to 25% to cover any deficit ",96.9,,
Serbia ,Social insurance | No specific programme for employment injury ,"Provided under old age, disability, and survivors ","Provided under old age, disability, and survivors ","Provided under old age, disability, and survivors ","Provided under old age, disability, and survivors ",66.2,,
Slovakia ,Social insurance ,No contribution ,0.8% of covered payroll ,Not covered ,Any deficit ,66.4,,
Slovenia ,Social insurance ,"Global contribution, under sickness (temporary disability and medical benefits); global contribution, under old age (15.5% of gross earnings) (permanent disability benefits) ","0.53% of payroll (temporary disability and medical benefits); global contribution, under old age (8.85% of payroll) (permanent disability benefits) ","Global contribution, under sickness (temporary disability and medical benefits); global contribution, under old age (24.35% of assessed income; certain farmers contribute 15.5%) (permanent disability benefits) ",Any deficit caused by a decline in contribution rates for permanent disability benefits ,80.2,,
Spain ,Social insurance ,No contribution ,1.98% (0.90% to 7.15% of covered payroll according to assessed risk) ,Contributions vary according to the level of coverage chosen Voluntary basis ,No contribution ,48.3,,
Sweden ,Social insurance ,No contribution ,0.3% of payroll ,0.3% of declared earnings ,No contribution ,84.8,,
Switzerland ,Mandatory private insurance ,No contribution ,Whole cost of private insurance (insurance premiums vary according assessed risk) ,Voluntary basis ,No contribution ,66.7,,
Turkey ,Social insurance ,No contribution (cash benefits); 5% of monthly earnings (medical benefits) ,"Global contribution, under sickness (2% of monthly payroll); 7.5% of monthly payroll (medical benefits) ","Global contribution, under sickness (2% of declared monthly earnings) (cash benefits); 12.5% of declared earnings (medical benefits) ",The cost of contributions for apprentices and students in technical schools ,68.4,,
Ukraine ,Social insurance (cash benefits); universal (medical benefits) ,No contribution ,"Global contribution, under old-age (22% of payroll) ","Global contribution, under old age (22% of the monthly minimum wage) ","No contribution (cash benefits); whole cost, under sickness (medical benefits) ",64.1,,
United Kingdom ,Social insurance; social assistance ,"Global contribution, under old age (12% of weekly earnings) 8 ","Global contribution, under old age (13.8% of employee's earnings) ",Not covered ,"Global contribution, under old age (whole cost of means-tested allowances; pays a treasury grant to cover any deficit) ",68,,
Argentina ,Employer liability ,No contribution ,Whole cost (pays insurance premiums or self insures) ,Not covered ,No contribution ,44.9,,
Bahamas ,Social insurance ,"Global contribution, under old age (3.9% of weekly covered earnings) ","Global contribution, under old age (5.9% of covered payroll) ",2% of covered earnings ,No contribution ,82.6,,
Barbados ,Social insurance ,No contribution ,0.75% of payroll ,Not covered ,No contribution ,65.6,,
Belize ,Social insurance ,"Global contribution, under old age (flat rate that varies according to 8 wage classes) ","Global contribution, under old age (flat rate that varies according to 8 wage classes) ","Global contribution, under old age (flat rate that varies according to 8 wage classes) ",No contribution ,80.6,,
Bermuda ,Employer liability (normally involving insurance with a private carrier) ,No contribution ,Whole cost (pays insurance premiums or provides benefits directly) ,Not covered ,No contribution ,32.2,,
Bolivia (Plurinational State of) ,Social insurance; mandatory private insurance ,"Global contribution, under old age (1.71% of covered earnings for temporary disability benefits) 9 ","Global contribution, under sickness (10% of payroll for temporary disability and medical benefits); global contribution, under old age (1.71% of covered payroll for permanent disability benefits) 9 ","Global contribution, under sickness (temporary disability and medical benefits); global contribution, under old age (1.71% of covered earnings for permanent disability benefits) 9 ",No contribution ,16,,
Brazil ,Social insurance ,No contribution ,1% to 3% of gross payroll according to assessed risk; 0.1% of gross payroll for employers of rural workers ,Not covered ,No contribution ,56.5,,
British Virgin Islands ,Social insurance ,No contribution ,0.5% of covered monthly payroll ,0.5% of declared monthly earnings ,No contribution ,98.4,,
Chile ,Social insurance ,No contribution ,0.95% + up to 3.4% of covered payroll according to assessed risk (companies with high accident rates pay up to 6.8% of covered payroll) ,"0.95% declared income + up to 3.,4% declared earnings depending on the occupation. ",No contribution ,76,,
Colombia ,Social insurance and individual account system ,No contribution ,0.34% to 8.7% of covered payroll according to assessed risk ,0.34% to 8.7% of declared covered earnings according to assessed risk. Voluntary basis. ,Global contribution ,44.5,,
Costa Rica ,Employer liability (involving compulsory and voluntary insurance with a public carrier) ,No contribution ,Whole cost (pays insurance premiums that vary according to assessed risk) ,Not covered ,No contribution ,60.1,,
Cuba ,Social insurance (cash); universal (medical care) ,"Global contribution, under old age (1% to 5% of earnings) ","Global contribution, under old age (12.5% of gross payroll for the public sector; 14.5% for the private sector) ",Not covered ,"Global contribution, under old age (any deficit) ",94.4,,
Dominica ,Employer liability ,No contribution ,0.5% of employee's gross earnings ,Not covered ,No contribution ,60.8,,
Dominican Republic ,Social insurance ,No contribution ,"Whole cost (1.2% of payroll on average, according to assessed risk) ",Not covered ,No contribution ,… ,,
Ecuador ,Social insurance ,No contribution. 0.55% of gross earnings for voluntary contributors ,0.55% of payroll ,0.55% of gross declared earnings ,40% of the cost of work injury pensions ,49,,
El Salvador ,Social insurance ,"Global contribution, under sickness (3% of covered earnings) ","Global contribution, under sickness (7.5% of covered payroll) ","Global contribution, under sickness (10.5% of declared income) ",An annual subsidy ,26.8,,
Grenada ,Social insurance ,No contribution ,1% of gross payroll ,1% of gross earnings ,No contribution ,60.7,,
Guatemala ,Social insurance ,1% of gross earnings ,3% of gross payroll ,Not covered ,1.5% of gross payroll ,65.6,,
Guyana ,Social insurance ,"Global contribution, under old age (5.6% of covered earnings; 9.3% of average weekly earnings for the voluntarily insured) ","Global contribution, under old age (8.4% of covered monthly payroll; 1.5% for persons younger than age 16 and aged 60 or older) ",Not covered ,Covers any deficit ,56.6,,
Haiti ,Social insurance ,No contribution ,2% to 6% of payroll depending on sector ,Not covered ,No contribution ,15.7,,
Honduras ,Employer liability (involving insurance with a public or private carrier) ,No contribution ,Whole cost (pays insurance premiums) ,Not covered (except a few categories; pay insurance premiums) ,No contribution ,16.3,,
Jamaica ,Social insurance ,No contribution ,"Global contribution, under old age (2.5% of covered payroll; J$100 a week for household workers) ",Not covered ,No contribution ,52,,
Mexico ,Social insurance ,No contribution ,0.5% to 15% of payroll depending of assessed risk ,Voluntary basis ,No contribution ,49.3,,
Nicaragua ,Social insurance ,No contribution ,1.5% of covered payroll (+1.5% of covered payroll for war victims' pensions) ,Not covered ,No contribution ,44.9,,
Panama ,Employer liability (involving insurance with a public carrier) ,No contribution ,Whole cost (pays insurance premiums that vary according to assessed risk) ,Not covered ,No contribution ,59.6,,
Paraguay ,Social insurance ,"Global contribution, under old age (9% of gross earnings) ","Global contribution, under old age (14% of gross payroll) ","Global contribution, under old age (12.5% of the legal minimum wage + 0.5% for administrative fees) Voluntary basis ","Global contribution, under old-age (1.5% of gross earnings) ",32.1,,
Peru ,Social insurance ,No contribution ,0.63% to 1.84% of covered payroll depending of assessed risk and the reported accident rate ,Flat-rate contribution from 11 to 39 nuevos soles ,No contribution ,39.5,,
Saint Kitts and Nevis ,Social insurance ,No contribution ,1% of covered payroll ,Not covered ,No contribution ,80.6,,
Saint Lucia ,Social insurance ,"Global contribution, under old age (5% of covered monthly earnings) ","Global contribution, under old age (5% of covered monthly payroll) ",Not covered ,No contribution ,49.5,,
Saint Vincent and the Grenadines ,Social insurance ,No contribution ,0.5% of covered payroll ,Not covered ,No contribution ,59.4,,
Trinidad and Tobago ,Social insurance ,"Global contribution, under old age (4% of covered weekly or monthly earnings according to 16 wage classes; 11.4% for the voluntarily insured) ","Global contribution, under old age (8% of covered weekly or monthly payroll, according to 16 wage classes) ",Not covered ,No contribution ,65.5,,
Uruguay ,Mandatory insurance through a public carrier ,No contribution ,Whole cost (varies according to assessed risk) ,Not covered ,No contribution ,54.6,,
"Venezuela, Bolivarian Rep. of ",Social insurance ,No contribution ,0.75% to 10% of covered payroll according to assessed risk ,Voluntary basis ,No contribution ,57.9,,
Canada,Social insurance,No contribution,Whole cost (varies by industry and according to assessed risk; large firms in some provinces may self-insure),Not covered,No contribution,69.1,,
United States,Employer liability; social insurance (pneumoconiosis,Nominal contributions in a few states,Whole cost or most of the costs of private insurance (premiums vary according to assessed risk) (1.3% of payroll on average in 2013),Not covered,No contribution,84.8,,
Australia,Employer liability (involving insurance with a public or private carrier),No contribution,Whole cost (insurance premiums vary according to assessed risk),Whole cost of self- insurance. Voluntary basis,No contribution,72,,
Fiji,Employer liability,No contribution,Whole cost (provides benefits directly),Not covered,No contribution,40.1,,
Kiribati,Employer liability (involving insurance with a private carrier),No contribution,Whole cost,Not covered,No contribution,32.8,,
New Zealand,Universal; employer liability (involving insurance with a public carrier),No contribution,Contribution rates set each year,Contribution rates set each year,No contribution,100,,
Palau Islands,Employer liability,No contribution,Whole cost,Not covered,No contribution,…,,
Papua New Guinea,Employer liability (involving insurance with a private carrier),No contribution,Whole cost (pays insurance premiums or provides benefits directly),Not covered,No contribution,6.4,,
Samoa,Employer liability (involving insurance with a private carrier),No contribution,1% payroll,Not covered,No contribution,53.5,,
Solomon Islands,Employer liability (involving insurance with a private carrier),No contribution,Whole cost,Not covered,No contribution,14.5,,
